nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"Laptop MSI Thin 15 B13UC i5-13420H RTX3050 8GB 512GB 15.6"" FHD 144Hz IPS Level",Rp13.615.000,13615000,Rp13.999.000,0,,,paradisestore.id,Jakarta Barat,2,Jakarta Barat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/paradisestoreid/laptop-msi-thin-15-b13uc-i5-13420h-rtx3050-8gb-512gb-15-6-fhd-144hz-ips-level-1735016244127303090?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f836b52e130a4f3a9d3553859b445e00~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=1Y3sqhAwSzGftKB4ysbVqBgQHnk%3D&x-signature-webp=l35CLH4ygzpQ2qdk7g4Bmy1tJ%2Bw%3D
MSI THIN A15 B7UC-664ID - GeForce RTX 3050 Ryzen 7 7735HS 512GB SSD 8GB RAM Notebook Laptop Gaming,Rp13.649.000,13649000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/msi-thin-a15-b7uc-664id-geforce-rtx-3050-ryzen-7-7735hs-512gb-ssd-8gb-ram-notebook-laptop-gaming-1734535857645192239?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e4a6222e3537449d9d2ae237f4b0c67a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=mMNEFTf61zX78YGZzQ%2F%2FR%2ByhQiY%3D&x-signature-webp=uiiMkY6QNIhvhslcNJYtvfRJyr0%3D
MSI THIN 15 B13UC 3449ID - GeForce RTX 3050 Core i5-13420H 512GB SSD 8GB RAM Notebook Laptop Gaming,Rp12.899.000,12899000,,0,,,Gasol Maspion Square Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasolsurabaya/msi-thin-15-b13uc-3449id-geforce-rtx-3050-core-i5-13420h-512gb-ssd-8gb-ram-notebook-laptop-gaming-1735436325256202235?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e38ab39ec9be45f09be09fed2403ceaa~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=LPQMSsAENIHz0hcarVwUwOoWgo0%3D&x-signature-webp=BKgGzSchwfTB%2BPHEHV2YJcoFAVo%3D
LAPTOP MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT,Rp10.139.000,10139000,Rp16.899.000,0,,,Intel Gaming ID,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/intelgamingid/laptop-msi-modern-14-i5-1334-8gb-512gb-w11-14-0fhd-blit-1733451286796600640?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/3f4ee20d1b614e59838dd575286cc1bb~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=1%2Bx4%2BbDaDOSsH7i2ez9aPowWP5Q%3D&x-signature-webp=xv0AYa86aWaMBaKC8lYt2kGHLPY%3D
Laptop Msi Modern A14 Ai Ryzen 5 220 8Gb 512Gb Win11+Ohs 14.0 Fhd,Rp10.619.000,10619000,,0,,,Herlinacom,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/herlinacom/laptop-msi-modern-a14-ai-ryzen-5-220-8gb-512gb-win11-ohs-14-0-fhd-1734469163881104782?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/d02b70ff2e744b6e95f61cf740afa424~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=juyqeNXypM4FzOVitBqfugNpRvk%3D&x-signature-webp=HqSNmv2O3tJKYU6CmAJGQOlUc5M%3D
"Laptop MSI THIN 15 I5 13420H RTX3050 4GB/ 8GB 512GB W11 15.6"" FHD 144HZ",Rp13.479.000,13479000,Rp20.999.000,0,,,Gaming Laptop ID,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gaminglaptopid/laptop-msi-thin-15-i5-13420h-rtx3050-4gb-8gb-512gb-w11-15-6-fhd-144hz-1729893241080219243?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch%26whid%3D13856,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/20bc3fc4ff364c39bc3311fdadfdc9bc~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=kLbTmyg9nZoNnMlm93aLWTh%2FaGs%3D&x-signature-webp=CDKNzILrVKHEzRE5XnARhuOZqbM%3D
[LAPTOP] MSI THIN 15 I5 13420H RTX3050 4GB/ 8GB 512GB W11 15.6FHD 144HZ BLIT 2Y -B13UC.3449 GARANSI RESMI,Rp13.479.000,13479000,,0,,,Agres ID Jakarta Utara,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/agresidjakut/laptop-msi-thin-15-i5-13420h-rtx3050-4gb-8gb-512gb-w11-15-6fhd-144hz-blit-2y-b13uc-3449-garansi-resmi-1735271429173511762-1735271589251155538?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/3d26ad5c892e4731bdc305c4517d4457~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=HtWWS1TArGFV%2FkNdBZmhQrC4H6Q%3D&x-signature-webp=1majlazoTh3X52%2FnZ6jKdOTLbTQ%3D
MSI Modern 15 F1MG 475ID - Core 5 120U 512GB SSD 16GB RAM - Grey Notebook Laptop,Rp11.610.000,11610000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/msi-modern-15-f1mg-475id-core-5-120u-512gb-ssd-16gb-ram-grey-notebook-laptop-1732535863837492271?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7b0cb7459ac043dd91f7b872cc92eeb8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=C0JlJtvnDQrx3zLb1iHVxmoqOSc%3D&x-signature-webp=UDqGq3BHrwVtS6w5PmsGl%2FWM684%3D
"Laptop MSI Thin 15 B13UC Intel Core i5-13420H Nvidia RTX3050 8GB 512GB Windows11 15.6"" Full HD IPS",Rp13.479.000,13479000,,0,,,GAMER ID DEPOK,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gamer-id-depok/laptop-msi-thin-15-b13uc-intel-core-i5-13420h-nvidia-rtx3050-8gb-512gb-windows11-15-6-full-hd-ips-1736032277193983241-1736032265512781065?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4f1ef5198dd94e25a3043de0dc786a56~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=QFf4hO5huJaZ5m2dUcfRbtDmvCA%3D&x-signature-webp=sEtA2OEvkgUM7fw3xSlLgIezt%2FA%3D
Laptop MSI THIN 15 B12UC 9S7-16R831-2405 I7 12650H 8GB -SSD 512GB -RTX3050 4GB -WIN11 -COSMOS GRAY,Rp14.920.900,14920900,,0,5.0,,Aringo Computer Samarinda,Samarinda,3,Samarinda,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/aringoid/laptop-msi-thin-15-b12uc-9s7-16r831-2405-i7-12650h-8gb-ssd-512gb-rtx3050-4gb-win11-cosmos-gray?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/9/26/67752ee2-0e89-432c-a06d-e9a4cb60317b.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673670&x-signature=eqh151kD9ZJKagmhDUJ15L035Rc%3D&x-signature-webp=3Ag8bDyDHL%2Fir9TcjiRV%2FJnMEfg%3D
