nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
Apple Macbook Neo 13 Garansi Resmi,Rp12.100.000,12100000,,0,,,DIGITAL CELLULAR,Jakarta Barat,2,Jakarta Barat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/digital-cellular/apple-macbook-neo-13-2026-garansi-resmi-1735725063389086840-1735725066196059256?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/042d3b79ef6f4940aa1546f3b2b3b1e6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=Q6hmp6yhOMqZh7QrjrgbrxSqybA%3D&x-signature-webp=fssBHZhwf%2FCRDgWgmtY049ICFM8%3D
Macbook Neo 256GB 512GB A18 Pro Garansi Resmi Indonesia,Rp11.425.000,11425000,Rp15.999.000,0,,,Ponselnesia,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/ponselnesia/macbook-neo-256gb-512gb-a18-pro-garansi-resmi-indonesia-1735913994732602535-1735913925432935591?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6e6373702a5740a8850d2ac8d0ed1b9f~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=pdHIKC%2FQDi2DDVfurYDs2MaLP5g%3D&x-signature-webp=OGtQyES1vks7oixkerLG1IHe1Vc%3D
Apple Macbook NEO 13 Processor A18 PRO RAM 8GB SSD 256GB 13.0 Garansi Resmi Indonesia,Rp11.619.000,11619000,,0,,,Collins Tangerang,Tangerang,2,Tangerang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/collins-tangerang/apple-macbook-neo-13-2026-8gb-512gb-8gb-256gb-garansi-resmi-1735742558699292649-1736029946377963497?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/9c28caa84e2c444a894f9b4711d63f35~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=q3Fitqe0V7YH2Z7MwXCA6dZmtfM%3D&x-signature-webp=4p2kMAuCTFgavlnyXwokIjleO7Q%3D
Apple MacBook Neo 13 A18 Pro 6-Core CPU 8GB 256GB Garansi Resmi Indonesia,Rp10.998.000,10998000,,0,,,allkomputer,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/allkomputejkt/apple-macbook-neo-13-a18-pro-6-core-cpu-8gb-256gb-garansi-resmi-indonesia-1736034460263548680-1736034578335106824?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f47629da91974b13a93d57cf2dfd7680~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=aOTY82lrCDNPBsNq8849ToQ63GI%3D&x-signature-webp=iX9wC68q9zzLZ9lHEv9KRB%2FI3Es%3D
Apple Macbook Neo A18 Pro 13 Inci RAM 8GB SSD 256GB 512GB - 256GB,Rp12.000.000,12000000,,0,,,IT TANGERANG,Tangerang,2,Tangerang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/it-tangerang/apple-macbook-neo-a18-pro-13-inci-ram-8gb-ssd-256gb-512gb-256gb-1734617611017356651-1734618385952310635?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/84b94a16fed848bda60d53e16e8700a2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=%2F8yYLc0HQyCBzQuYEW4%2BASSgMaM%3D&x-signature-webp=FXawnzde5sF59L2Hqo3z9Q0wN3c%3D
Apple Macbook Neo A18 Pro MHFG4 6-core CPU 5-core GPU 8GB 512GB Touch ID Inter,Rp11.629.000,11629000,,0,,,DIGITAL ZONE_NEW,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/digitalzone/apple-macbook-neo-a18-pro-mhfg4-6-core-cpu-5-core-gpu-8gb-512gb-touch-id-inter-1734912920446731644-1735038828979783036?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/b571ab185a894d9494cd8706096345b9~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=MwaCZ1Rb6irfIPa5eORSdtYdV1Q%3D&x-signature-webp=Xx1YvyW6MAHZeR%2Fo2dpY6Ex%2FMLM%3D
"Monitor BenQ MA320U 4K HDR 600 31.5"" IPS 99% sRGB Monitor For Macbook",Rp10.980.000,10980000,,0,,,Jaya Komputa,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/jaya-komputa/monitor-benq-ma320u-4k-hdr-600-31-5-ips-99-srgb-monitor-for-macbook?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c9b64d974a504fa5abf795675d41cbac~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=elsfapx8dfG%2Fzpq0nRfPqTDQ0UA%3D&x-signature-webp=RCoFvtuJYHcZQhFHCqL84gQqvHw%3D
Macbook Neo 256GB 512GB A18 Pro Garansi Resmi Indonesia,Rp11.999.000,11999000,,0,,,Jajan in Gadget,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/jajaningadget/macbook-neo-256gb-512gb-a18-garansi-resmi-indonesia-1735811191742891410-1735811292983756178?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/63c0e86b9bab4ed89c697b0eef6c89bb~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=VumiGbKCA%2BLVezsbeYe7g06vo5E%3D&x-signature-webp=QvEXnmAOolYTiSWLyiKrB%2F%2F%2By0M%3D
Apple Macbook Neo A18 Pro MHFG4 6-core CPU 5-core GPU 8GB 512GB Touch ID Inter,Rp11.629.000,11629000,,0,,,Anugerah Digital Lestari,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/anugerahdigital/apple-macbook-neo-a18-pro-mhfg4-6-core-cpu-5-core-gpu-8gb-512gb-touch-id-inter-1734912937848636759-1735038819799827799?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/4cc7337268e741669554277f0ac392e6~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=fsIhdzbtdbMbs0cMMe9Yy76HlOs%3D&x-signature-webp=NChb7%2FUWK%2BOp5FMqVuK1DG1Zezg%3D
MACBOOK NEO 13 A18 PRO 6C CPU 8GB 256GB / 512GB 13.0 GARANSI RESMI IBOX,Rp11.519.000,11519000,,0,,,Laptop Murah ID,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/laptopmurahid/apple-macbook-neo-13-a18-pro-6c-cpu-8gb-256gb-13-0-garansi-resmi-1735567217334125846-1735567406072169750?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fa6cfc8dd5a8402ba528958e5b6bfb9b~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672818&x-signature=dQ%2FKiUXoBO53WVc0aLkRBQ8pCTs%3D&x-signature-webp=dxgO8I5qpreYwwGgSciMwmsPCgg%3D
